source,month,risk_mode,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_5_30d,target_8_30d,target_10_30d,target_10_weekly
canonical,2020-11,0.75pct_equity,1.06,2.12,4.55,9.09,False,False,False,False
canonical,2020-12,0.75pct_equity,0.91,1.82,3.91,7.83,False,False,False,False
canonical,2021-01,0.75pct_equity,0.43,0.85,1.83,3.66,False,False,False,False
canonical,2021-02,0.75pct_equity,0.96,1.92,4.12,8.24,False,False,False,False
canonical,2021-03,0.75pct_equity,0.24,0.49,1.05,2.1,False,False,False,False
canonical,2021-04,0.75pct_equity,0.53,1.06,2.29,4.58,False,False,False,False
canonical,2021-05,0.75pct_equity,0.42,0.84,1.8,3.61,False,False,False,False
canonical,2021-06,0.75pct_equity,0.33,0.67,1.43,2.86,False,False,False,False
canonical,2021-07,0.75pct_equity,0.58,1.15,2.47,4.95,False,False,False,False
canonical,2021-08,0.75pct_equity,0.95,1.9,4.08,8.16,False,False,False,False
canonical,2021-09,0.75pct_equity,0.14,0.29,0.61,1.23,False,False,False,False
canonical,2021-10,0.75pct_equity,0.09,0.18,0.38,0.76,False,False,False,False
canonical,2021-11,0.75pct_equity,0.88,1.75,3.77,7.54,False,False,False,False
canonical,2021-12,0.75pct_equity,0.24,0.48,1.03,2.05,False,False,False,False
canonical,2022-01,0.75pct_equity,0.78,1.56,3.35,6.71,False,False,False,False
canonical,2022-02,0.75pct_equity,0.53,1.06,2.27,4.55,False,False,False,False
canonical,2022-03,0.75pct_equity,0.95,1.9,4.09,8.19,False,False,False,False
canonical,2022-04,0.75pct_equity,0.47,0.94,2.01,4.02,False,False,False,False
canonical,2022-05,0.75pct_equity,0.56,1.13,2.42,4.84,False,False,False,False
canonical,2022-06,0.75pct_equity,0.28,0.55,1.18,2.37,False,False,False,False
canonical,2022-07,0.75pct_equity,0.87,1.75,3.76,7.51,False,False,False,False
canonical,2022-08,0.75pct_equity,0.47,0.95,2.04,4.07,False,False,False,False
canonical,2022-09,0.75pct_equity,0.98,1.96,4.2,8.41,False,False,False,False
canonical,2022-10,0.75pct_equity,0.83,1.67,3.59,7.17,False,False,False,False
canonical,2022-11,0.75pct_equity,0.47,0.95,2.04,4.08,False,False,False,False
canonical,2022-12,0.75pct_equity,0.0,0.0,0.01,0.02,False,False,False,False
canonical,2023-01,0.75pct_equity,0.02,0.04,0.09,0.18,False,False,False,False
canonical,2023-02,0.75pct_equity,0.5,1.01,2.17,4.33,False,False,False,False
