trade_id,fold,segment,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t99_00059,99,retrospective_2026,2026-04-17 16:00:00+00:00,2026-04-17 18:00:00+00:00,LONG,,CONTINUATION,0.776275,0.832314,0.0025,0.002016,256.19,0.02,4847.1368,4743.8505,5053.7093,4867.4,TIMEOUT,0.158189,0.146218,40.53,37.46,0.14,3.07,206.57,102475.29,102512.75,0.0,0.0,dec_20260713T104641765019
t99_00060,99,retrospective_2026,2026-04-20 23:00:00+00:00,2026-04-21 02:00:00+00:00,LONG,,CONTINUATION,0.844803,0.870421,0.0025,0.001973,256.28,0.03,4815.0517,4747.6378,4949.8796,4821.795,TIMEOUT,0.078936,0.059229,20.23,15.18,0.21,5.05,202.24,102512.75,102527.93,0.0,0.0,dec_20260713T104641850491
t99_00061,99,retrospective_2026,2026-04-21 01:00:00+00:00,2026-04-21 03:00:00+00:00,LONG,,CONTINUATION,0.615732,0.728615,0.0025,0.001999,256.32,0.03,4823.3827,4755.0588,4960.0306,4823.99,TIMEOUT,0.007107,-0.012714,1.82,-3.26,0.21,5.08,204.97,102527.93,102524.67,3.2e-05,3.2e-05,dec_20260713T104641855468
t99_00062,99,retrospective_2026,2026-04-24 18:00:00+00:00,2026-04-24 20:00:00+00:00,LONG,,CONTINUATION,0.718047,0.695696,0.0025,0.001814,256.31,0.02,4727.1043,4634.1098,4913.0932,4723.36,TIMEOUT,-0.029217,-0.040987,-7.49,-10.51,0.14,3.02,185.99,102524.67,102514.17,0.000102,0.000134,dec_20260713T104642119064
t99_00063,99,retrospective_2026,2026-04-30 09:00:00+00:00,2026-04-30 11:00:00+00:00,LONG,,CONTINUATION,0.904049,0.905672,0.0014,0.000916,143.52,0.01,4563.3568,4469.465,4751.1403,4616.42,TIMEOUT,0.369727,0.358833,53.06,51.5,0.07,1.56,93.89,102514.17,102565.67,0.0,0.0,dec_20260713T104642382519
t99_00064,99,retrospective_2026,2026-04-30 10:00:00+00:00,2026-04-30 12:00:00+00:00,LONG,,CONTINUATION,0.840011,0.860566,0.0025,0.001937,256.41,0.02,4590.3318,4490.9707,4789.0539,4625.23,TIMEOUT,0.272207,0.260245,69.8,66.73,0.14,3.07,198.72,102565.67,102632.4,0.0,0.0,dec_20260713T104642385471
t99_00065,99,retrospective_2026,2026-05-05 15:00:00+00:00,2026-05-05 17:00:00+00:00,LONG,,CONTINUATION,0.728933,0.764925,0.0025,0.002032,256.58,0.03,4563.5525,4494.0229,4702.6118,4582.38,TIMEOUT,0.220136,0.202188,56.48,51.88,0.21,4.6,208.59,102632.4,102684.27,0.0,0.0,dec_20260713T104642579197
t99_00066,99,retrospective_2026,2026-05-05 16:00:00+00:00,2026-05-05 18:00:00+00:00,LONG,,CONTINUATION,0.614757,0.670623,0.0025,0.002047,256.71,0.03,4565.345,4495.2684,4705.4982,4568.545,TIMEOUT,0.037396,0.01975,9.6,5.07,0.21,4.53,210.23,102684.27,102689.34,0.0,0.0,dec_20260713T104642582171
t99_00067,99,retrospective_2026,2026-05-06 02:00:00+00:00,2026-05-06 04:00:00+00:00,LONG,,CONTINUATION,0.87191,0.897249,0.0025,0.002361,256.72,0.03,4574.0325,4493.2157,4735.6661,4626.085,TIMEOUT,0.608279,0.58707,156.16,150.71,0.21,5.44,242.45,102689.34,102840.06,0.0,0.0,dec_20260713T104642585056
t99_00068,99,retrospective_2026,2026-05-06 03:00:00+00:00,2026-05-06 05:00:00+00:00,LONG,,CONTINUATION,0.877779,0.900371,0.0025,0.001736,257.1,0.02,4594.8,4505.5105,4773.3789,4640.83,TIMEOUT,0.358071,0.345858,92.06,88.92,0.14,3.14,178.58,102840.06,102928.98,0.0,0.0,dec_20260713T104642587934
t99_00069,99,retrospective_2026,2026-05-07 02:00:00+00:00,2026-05-07 04:00:00+00:00,LONG,,CONTINUATION,0.818259,0.864736,0.003,0.002321,308.79,0.03,4695.76,4616.1152,4855.0496,4714.715,TIMEOUT,0.184154,0.166472,56.86,51.4,0.21,5.46,238.93,102928.98,102980.38,0.0,0.0,dec_20260713T104642590883
t99_00070,99,retrospective_2026,2026-05-07 03:00:00+00:00,2026-05-07 05:00:00+00:00,LONG,,CONTINUATION,0.787069,0.83167,0.003,0.002947,308.94,0.04,4699.7225,4623.8407,4851.4861,4707.23,TIMEOUT,0.097203,0.076811,30.03,23.73,0.28,6.3,303.53,102980.38,103004.11,0.0,0.0,dec_20260713T104642593676
